time,jogos,vitorias,empates,derrotas,gm,gs,jogcasa,vitcasa,empcasa,gmc,gsc,jogfora,vitfora,empfora,gmf,gsf,perf_ult_5_jgs,chutes_jg,estilo
bayern,20,16,3,1,74,18,10,8,1,40,9,10,8,2,34,9,7,8.6,posse
dortmund,20,13,6,1,41,19,10,8,2,22,8,10,5,4,19,11,9,4.8,posse
hoffenhein,20,13,3,4,43,23,10,7,0,24,13,10,6,3,19,10,10,4.9,pressao
stuttgart,20,12,3,5,37,26,10,7,2,14,11,10,5,1,23,15,9,6,posse
rbleipzig,20,11,3,6,38,27,10,7,0,23,13,10,4,3,15,14,5,5.7,pressao
leverkusen,19,11,2,6,38,26,10,6,1,20,10,9,5,1,18,16,6,4.7,posse
freiburg,20,7,6,7,31,33,9,5,3,18,11,11,2,3,13,22,5,4.2,defensivo
frankfurt,20,7,6,7,40,45,10,4,2,17,18,10,3,4,23,27,2,4.4,pressao
uberlin,20,6,6,8,25,33,10,3,4,15,16,10,3,2,10,17,3,3.6,defensivo
koln,20,6,5,9,29,32,10,4,2,18,15,10,2,3,11,17,5,4.6,pressao
augsburg,20,6,4,10,24,37,11,4,3,14,19,9,2,1,10,18,6,4.3,defensivo
bmonche,20,5,6,9,24,33,10,2,3,12,20,10,3,3,12,13,4,4.1,contra_ataque
hamburgo,19,4,7,8,19,29,10,4,4,15,11,9,0,3,4,18,4,4.8,contra_ataque
wolfsburg,20,5,4,11,28,42,10,2,3,16,21,10,3,1,12,21,3,4.1,contra_ataque
bremen,20,4,7,9,22,38,10,3,4,12,18,10,1,3,10,20,2,4.1,contra_ataque
mainz,20,4,6,10,23,33,10,2,3,10,13,10,2,3,13,20,7,3.5,pressao
stpauli,20,3,5,12,18,34,9,2,3,9,16,11,1,2,9,18,2,3.5,defensivo
heindenheim,20,3,4,13,19,45,10,2,3,10,22,10,1,1,9,23,2,3.6,contra_ataque
