time,jogos,vitorias,empates,derrotas,gm,gs,jogcasa,vitcasa,empcasa,gmc,gsc,jogfora,vitfora,empfora,gmf,gsf,perf_ult_5_jgs,chutes_jg,estilo
psg,20,15,3,2,43,16,9,8,1,22,4,11,7,2,21,12,10,6.8,posse
lens,20,15,1,4,34,16,10,9,0,18,4,10,6,1,16,12,8,5.1,pressao
marseille,20,12,3,5,46,22,10,7,2,27,11,10,5,1,19,11,7,5.9,pressao
lyon,20,12,3,5,33,20,10,8,0,17,7,10,4,3,16,13,10,5,posse
lille,20,10,2,8,34,30,10,6,1,17,12,10,4,1,17,18,2,4.9,contra_ataque
rennes,20,8,7,5,30,31,10,5,3,19,11,10,3,4,11,20,5,4.7,equilibrado
strabourg,20,9,3,8,33,25,10,6,1,17,7,10,3,2,16,18,6,4.4,pressao
toulouse,20,8,6,6,31,23,11,4,4,19,15,9,4,2,12,8,7,4.2,contra_ataque
lorient,20,7,7,6,27,31,10,5,4,20,16,10,2,3,7,15,8,4,contra_ataque
monaco,20,8,3,9,32,33,11,6,1,22,18,9,2,2,10,15,3,4.2,pressao
angers,20,7,5,8,21,25,10,5,2,15,12,10,2,3,6,13,5,3.6,defensivo
brest,20,6,5,9,26,33,10,4,3,14,13,10,2,2,12,20,3,3.9,defensivo
nice,20,6,4,10,27,38,10,4,3,14,14,10,2,1,13,24,4,4.3,contra_ataque
parisfc,20,5,6,9,25,34,10,2,4,14,17,10,3,2,12,17,4,3.5,defensivo
lehavre,20,4,8,8,16,25,10,3,5,11,9,10,1,3,5,16,4,3.6,defensivo
nantes,20,3,5,12,19,36,10,1,2,10,21,10,2,3,9,15,2,3,defensivo
auxerre,20,3,4,13,14,29,10,3,1,10,12,19,0,3,4,17,1,3.3,defensivo
metz,20,3,3,14,21,46,9,2,2,9,15,11,1,1,12,31,1,3.1,defensivo
