time,jogos,vitorias,empates,derrotas,gm,gs,jogcasa,vitcasa,empcasa,gmc,gsc,jogfora,vitfora,empfora,gmf,gsf,perf_ult_5_jgs,chutes_jg,estilo
arsenal,24,16,5,3,46,17,12,9,2,28,8,12,7,3,18,9,6,4.8,posse
mancity,24,14,5,5,49,23,12,9,2,29,8,12,5,3,20,15,5,6,posse
astonv,24,14,4,6,35,26,12,8,1,18,10,12,6,3,17,16,5,4.5,contra_ataque
manutd,24,11,8,5,44,36,12,7,3,23,15,12,4,5,21,21,8,5.6,contra_ataque
chelsea,24,11,7,6,42,27,12,6,3,20,13,12,5,4,22,14,7,4.4,posse
liverpool,24,11,6,7,39,33,12,7,3,20,12,12,4,3,19,21,5,4.4,pressao
brentford,24,11,3,10,36,32,12,7,3,23,12,12,4,0,13,20,6,4,bola_parada
sunderland,24,9,9,6,27,26,12,7,5,21,9,12,2,4,6,17,5,3.3,defensivo
fulham,24,10,4,10,34,35,12,7,2,21,14,12,3,2,13,21,5,3.8,posse
everton,24,9,7,8,26,27,12,4,4,15,16,12,5,3,11,11,5,3.2,defensivo
newcastle,24,9,6,9,33,33,12,7,2,22,17,12,2,4,11,16,5,5.5,pressao
bmouth,24,8,9,7,40,43,12,6,4,19,13,12,2,5,21,30,7,4.8,pressao
brighton,24,7,10,7,34,32,12,5,6,20,13,12,2,4,14,19,5,4.4,posse
tottenham,24,7,8,9,35,33,12,2,4,15,16,12,5,4,20,17,3,4,pressao
cpalace,24,7,8,9,25,29,12,2,6,11,15,12,5,2,14,14,2,3.9,defensivo
leeds,24,6,8,10,31,42,12,5,4,19,17,12,1,4,12,25,4,4,pressao
nforest,24,7,5,12,24,35,12,3,3,13,18,12,4,2,11,17,6,3.7,contra_ataque
westham,24,5,5,14,29,48,12,3,1,16,26,12,2,4,13,22,4,3.5,defensivo
burnley,24,3,6,15,25,47,12,2,4,12,17,12,1,2,13,30,3,2.8,posse
wolves,24,1,5,18,15,45,12,1,2,10,25,12,0,3,5,20,4,3.2,contra_ataque
