time,jogos,vitorias,empates,derrotas,gm,gs,jogcasa,vitcasa,empcasa,gmc,gsc,jogfora,vitfora,empfora,gmf,gsf,perf_ult_5_jgs,chutes_jg,estilo
inter,23,18,1,4,52,19,12,9,1,33,10,11,9,0,19,9,9,6.1,posse
milan,23,14,8,1,38,17,11,7,3,17,9,12,7,5,21,8,8,4.8,contra_ataque
napoli,23,14,4,5,33,21,11,8,3,19,9,12,6,1,14,12,6,4.6,pressao
juventus,23,13,6,4,39,18,11,7,4,23,8,12,6,2,16,10,8,6,posse
roma,23,14,1,8,27,14,11,7,1,14,6,12,7,0,13,8,7,4.9,posse
como,23,11,8,4,37,16,12,6,5,20,7,11,5,3,17,9,6,5.3,posse
atalanta,23,9,9,5,30,20,12,6,4,18,9,11,3,5,12,11,8,4.4,pressao
lazio,23,8,8,7,24,21,12,5,4,18,14,11,3,4,6,7,6,3.9,contra_ataque
udinese,23,9,5,9,26,34,12,4,4,12,16,11,5,1,14,18,7,3.7,contra_ataque
bologna,23,8,6,9,32,30,11,4,2,12,13,12,4,4,20,17,3,4,posse
sassuolo,23,8,5,10,27,29,11,4,2,12,14,12,4,3,15,15,4,3.9,posse
cagliari,23,7,7,9,28,31,11,4,3,15,13,12,3,4,13,18,7,3.6,contra_ataque
torino,23,7,5,11,22,40,12,4,2,12,20,11,3,3,10,20,2,4.3,defensivo
genoa,23,5,8,10,27,34,12,3,4,12,15,11,2,4,15,19,6,4,defensivo
cremonese,23,5,8,10,20,31,11,2,5,11,15,12,3,3,9,16,2,3.1,defensivo
parma,23,5,8,10,15,30,12,2,4,8,17,11,3,4,7,13,4,2.8,contra_ataque
lecce,23,4,6,13,13,30,12,2,4,7,15,11,2,2,6,15,1,2.3,defensivo
fiorentina,23,3,8,12,25,36,11,2,3,15,17,12,1,5,10,19,4,3.7,posse
pisa,23,1,11,11,19,40,12,1,4,3,14,11,0,7,16,26,2,2.8,defensivo
verona,23,2,8,13,18,41,11,1,3,11,19,12,1,5,7,22,1,4.2,pressao
